time_step,serving_sat,snr,elevation,distance,handover
0,STARLINK-11553 [DTC],35.82234962948349,64.78158113381745,388.7540976650142,0
1,STARLINK-1347,37.64148530306876,86.69942133870502,482.08031407563817,1
2,STARLINK-34283,36.50765961739317,51.71627810972409,592.6081030524755,1
3,STARLINK-11553 [DTC],36.27305696216424,67.36734362532022,381.5275760433765,1
4,STARLINK-1347,35.409266964673655,86.99481915105044,481.96988470993955,1
5,STARLINK-11553 [DTC],34.995751521938246,69.06557981776469,377.30908525422257,1
6,STARLINK-11553 [DTC],35.34748234686276,69.89841244571129,375.38583711921376,0
7,STARLINK-1347,36.224738098202394,85.4410910107159,482.79052281275364,1
8,STARLINK-11553 [DTC],36.27850859905603,71.51265736736896,371.9209650555666,1
9,STARLINK-1347,37.855336264605306,83.99137926281341,483.8527483370006,1
10,STARLINK-11553 [DTC],36.97111045623176,73.02646388799057,368.97666504308194,1
11,STARLINK-11351 [DTC],35.76376519242597,41.31817924495333,527.6713454225995,1
12,STARLINK-11553 [DTC],37.84377614369048,74.39197991207531,366.56549504765593,1
13,STARLINK-30254,34.89195844525439,44.43753430974362,665.2574506855219,1
14,STARLINK-11553 [DTC],36.90943783451764,75.54981605749866,364.69804068307195,1
15,STARLINK-11553 [DTC],35.31578151568508,76.02970662262638,363.97092016307437,0
16,STARLINK-11553 [DTC],38.414675422943716,76.43185989143156,363.3826932153884,0
17,STARLINK-11553 [DTC],36.57952451803045,76.74795867403839,362.934035827285,0
18,STARLINK-11351 [DTC],35.56377471193243,40.124316968512005,539.1266286690915,1
19,STARLINK-11553 [DTC],33.96904345472936,77.09477750139966,362.45734340544794,1
20,STARLINK-11553 [DTC],36.65492426269592,77.11676034225462,362.4298620573456,0
21,STARLINK-11553 [DTC],37.40894363825541,77.0361360481281,362.54305443753464,0
22,STARLINK-11351 [DTC],37.425676201674634,39.28003057886855,547.6415332530506,1
23,STARLINK-34283,35.37746550448598,59.373882280929045,545.4923100243205,1
24,STARLINK-11553 [DTC],36.45490256593501,76.2117937649048,363.7245417063567,1
25,STARLINK-11553 [DTC],37.40846228906228,75.76416893631306,364.39748921939406,0
26,STARLINK-11553 [DTC],34.722110479279294,75.24384864217632,365.2088421819745,0
27,STARLINK-1347,34.74887965181945,69.61253789079086,511.19084068987917,1
28,STARLINK-11553 [DTC],34.55691091204331,74.02022549434342,367.2429343424012,1
29,STARLINK-11553 [DTC],36.88399008867182,73.33359143297578,368.46339994933606,0
30,STARLINK-11553 [DTC],36.10660465932992,72.60716476599374,369.81773614628753,0
31,STARLINK-11553 [DTC],34.57249352498826,71.84760199613349,371.3044763748169,0
32,STARLINK-11553 [DTC],34.59624568856876,71.06081736473011,372.922035223726,0
33,STARLINK-30757,36.093543318869926,55.07844854776786,668.2220223472931,1
34,STARLINK-11553 [DTC],36.10289099970422,69.42577372666466,376.542720733766,1
35,STARLINK-34283,35.426130668990815,61.43974823218496,535.4235646610791,1
36,STARLINK-11553 [DTC],37.28925028191033,67.73634782110645,380.6650405589359,1
37,STARLINK-31605,36.10121344899716,62.53115193638698,538.822754880349,1
38,STARLINK-11553 [DTC],37.64240191797605,66.0186128895213,385.2728730121413,1
39,STARLINK-11553 [DTC],35.44341849638045,65.1555020775432,387.7535119166575,0
40,STARLINK-31605,36.29789925979619,64.50350800253867,530.4471661165633,1
41,STARLINK-11553 [DTC],38.25651026437698,63.43077601316755,393.05706706631787,1
42,STARLINK-34283,34.91420022001938,61.38393344193655,535.6923779417419,1
43,STARLINK-11553 [DTC],35.21898118560518,61.71848531894721,398.8016348033152,1
